question,answer,source
What is a delayed message?,Delayed message means that the producer publishes the message to RabbitM,
What is a queue? what's the effect?,"Queues are used to store messages, producers send messages to the queue, and consumers get messages from the queue. Multiple consumers can subscribe to the same queue at the same time, and messages in the queue are assigned to different consumers. Each message is put into one or more queues.",
What optional attributes does the message header consist of?,"The message header consists of a series of optional attributes, including routing-key (routing key), priority (priority relative to other messages), delivery-mode (indicating that the message may require persistent storage), etc.",
What are the two parts of a message? What are the differences?,"Messages are generally divided into two parts: message body and label. Labels are also called message headers and are mainly used to describe this message. The message body is the content of the message, which is a json body or data, etc.",
 What is a Tag?,Tags are keywords associated with resources that help manage resource ownership and organize finding and operating on resources.,
What is Standby Node?,A standby node is a node that is set to be idle in hot standby mode.,
What is an SSL Certificate?,An SSL certificate is a digital certificate that describes the identity of a website.,
What is SQL Mode?,S,
 What is Read-Only Node?,Read-only nodes are replicas of the cluster master node.,
What is a Port?,port is the communication endpoint of a network connection. Use the port number used by each transport protocol to identify a port.,
 What is Point-In-Time-Recovery?,Recovery point-in-time ensures automated backups to restore data created in the previous state of the server.,
What is Operations Throughput Metric?,"The operation throughput metric is a measure of the throughput of get, insert, update, and delete operations for all databases on the server.",
What is Node Plan?,"A node plan, database, or cluster configuration is a hardware plan for node specifications.",
What is Machine Type?,A machine type is a set of virtualized hardware resources for a virtual machine (VM) instance.,
What is LUKS Disk Encryption (LUKS Disk Encryption)?,LUKS disk encryption is the Linux unified key set disk encryption specification.,
What is Index vs. Sequential Reads Metric?,The Index vs. Sequential Reads metric graph shows reads using indexes as a percentage of the total reads for all databases on the master server.,
What is Hot Standby?,Hot standby is the act of listening for when a primary node fails so that a backup node can take its place.,
What is High Availability?,High availability (HA) is an infrastructure design approach that focuses on reducing downtime and eliminating single points of failure.,
What is Failover?,Failover is a high-availability mechanism that monitors servers for failures and reroutes traffic or operations to a backup server if the primary server fails.,
What is E2EE?,"E2EE is end-to-end encryption, a communications system that encrypts messages and message services for everyone except the user who receives the message and the user who sends the message.",
What is DBaaS (Database as a Service)?,DBaaS is a cloud service that allows users to access cloud database systems on a subscription basis without owning a personal cloud data system.,
What is Connection Status Metric?,"The connection status metric is a measure of the number of threads created, connected, and running relative to database connection limits.",
What is an ACL?,"ACL is an access control list, a list of user permissions used to control access to system resources.",
 What is ACID compliance?,"ACID compliance is a set of database characteristics consisting of atomicity, consistency, isolation, and durability that ensure efficient completion of database transactions.",
What are Brokers and Clusters? What is the role of the cluster controller?,"An independent Kafka server is called a Broker. The Broker provides services to consumers, responding to requests to read partitions and returning messages that have been committed to disk. Broker is an integral part of the cluster. The cluster controller is responsible for management tasks, including assigning partitions to Brokers and monitoring Brokers.",
How to ensure that the read status will not be lost in Kafka?,"The consumer saves the last read offset of each partition in Zookeeper or Kafka. If the consumer shuts down or restarts, it can also reacquire the offset to ensure that the read status is not lost.",
What are consumers and producers? What is their function?,"Consumers are responsible for consuming messages, and producers are responsible for creating messages. Consumers can subscribe to one or more topics and read messages in the order they are generated; producers distribute messages evenly across all partitions of the topic.",
How to classify messages in Kafka? What parts can a topic be divided into?,"Messages are classified in Kafka through Topic. A topic can be divided into several Partitions, and a partition is a commit log.",
What is the basic data unit of Kafka? Why are multiple messages put into the same batch and then written?,The basic data unit of Kafka is message. Multiple messages are put into the same batch before being written in order to reduce network overhead and improve efficiency.,
How to solve the problem of failure to create a database using CR?,"When an error occurs when using CR to create a database, it may be because MyS",
When can I use pt-table-sync to synchronize master-slave instance data?,"When the master-slave instance data is inconsistent, you can use pt-table-sync to complete master-slave consistency synchronization. In the example, mysql-0=> mysql-1 supplementary data. This scenario is suitable for master-slave switching. It is found that the new slave library has redundant executed gtids and supplements the data before redoing. Note that this kind of supplementary data can only ensure that the data is not lost. If the data that has been deleted in the new main database will be replenished, it is a potential risk. If the new main database has data, it will be replaced with old data, which is also a risk. risk.",
How to solve the problem of CR failing to create a database and reporting an error?,"If an error occurs when using CR to create a database, and MyS",
How to solve the problem of inconsistency between primary and secondary data?,"When the master-slave instance data is inconsistent, you can use the pt-table-sync command to complete master-slave consistency synchronization. The specific commands are as follows: pt-table-sync --execute --charset=utf8 --ignore-databases=mysql,sys,percona --databases=database1,database2,...dsn=u=root,p=password,h =master-pod-name.mysql.mcamel-system,P=3306 dsn=u=root,p=password,h=slave-pod-name.mysql.mcamel-system,P=3306 --print. Among them, database1, database2,... are the names of the databases that need to be synchronized, and the dsn parameter is used to specify the connection information of the main database and the slave database.",
How to solve the problem that both the active and standby Pods have the role of replica?,1. Found two MyS,
"If the slave status shows `IO_Running: No`, how to fix it?","1. Confirm whether the network connectivity of the master database and slave database is normal. \n2. If the network connectivity is normal, confirm the status of the main library and confirm whether the current GTID of the slave library exists in the main library. You can view the GTID with the following command. \n```bash\nkubectl exec -it mcamel-common-mysql-cluster-mysql-1 -n mcamel-system -c mysql -- mysql --defaults-file=/etc/mysql/client.conf\n` ``\n```sql\nmysql> show variables like ""server_id"";\n+---------------+-------+\n| Variable_name | Value |\n+---------------+-------+\n| server_id | 2 |\n+-------------- -+-------+\nmysql> show master status\G;\nFile: mysql-bin.000002\nPosition: 424\nBinlog_Do_DB:\nBinlog_Ignore_DB:\nExecuted_Gtid_Set: 4bc2107c-819a-11ed-bf23-22be07e4eaff: 1-342297,\n7cc717ea-7c1b-11ed-b59d-c2ba3f807d12:1-619197,\na5ab763a-7c1b-11ed-b5ca-522707642ace:1-178069,\na6045297-8743-11ed-8712-8e 52c3ace534:1-4073131,\ na95cf9df-84d7-11ed-8362-5e8a1c335253:1-\nmysql> show slave status\G;\nSlave_IO_State:\nMaster_Host: mysql-docker_k8s_4_0\nMaster_User: slave\nMaster_Port: 3306\nConnect_Retry: 60\nMaster_Log_File: mys ql-bin.000002 \nRead_Master_Log_Pos: 424\nRelay_Log_File: mysqld-relay-bin.000002\nRelay_Log_Pos: 636\n```\n3. If the GTID exists, check whether the network or disk IO of the slave library is too high, and whether there are other errors; if normal , you can try restarting the slave Pod. \n4. If the problem persists, you can adjust the cache size of `slave` through the following command. \n```bash\nkubectl exec mcamel-common-mysql-cluster-mysql-1 -n mcamel-system -c mysql -- mysql --defaults-file=/etc/mysql/client.conf -NB -e "" stop slave;set global slave_net_timeout=60;set global slave_max_allowed_packet=1024*1024*64;set global slave_sql_verify_checksum=0;start slave;""\n```",
How to deal with purged binlog errors?,"If a slave replication error occurs when viewing the slave Pod log, and the keyword `purged binlog` appears, it is usually necessary to rebuild the slave library.",
How to check MySQL status?,Execute the following command to confirm MyS,
How to manually fix MySQL master-slave synchronization issues?,"If there is no error `ERROR` information in the Pod log of the slave library, it means that `False` is just because the delay in master-slave synchronization is too large. You can execute the following command on the slave library to further troubleshoot:\n1. Find the Pod of the slave node\n` ``bash\nkubectl get pod -n mcamel-system -Lhealthy,role | grep cluster-mysql | grep replica | awk ""{print $1}""\n```\n2. Set `binlog` parameters\n``` bash\nkubectl exec mcamel-common-mysql-cluster-mysql-1 -n mcamel-system -c mysql -- mysql --defaults-file=/etc/mysql/client.conf -NB -e ""set global sync_binlog=10086 ;""\n```\n3. Enter MyS",
How to expand PVC?,"If a PVC is found to be full, the PVC needs to be expanded. \n```bash\nkubectl edit pvc data-mcamel-common-mysql-cluster-mysql-0 -n mcamel-system # Just modify the request size\n```",
How to check disk usage of MySQL instance?,Disk usage can be checked by running the following command on the `master` node. \n```bash\nkubectl get pod -n mcamel-system | grep cluster-mysql | awk "{print $1}" | xargs -I {} kubectl exec {} -n mcamel-system -c sidecar -- df - h | grep /var/lib/mysql\n```,
How to avoid allocating too many shards?,"Make sure to keep the number of shards below 20 for every GB configured on the node, and try to keep the map size of a single index under control. Also monitor heap memory usage on the master node and ensure it is appropriately sized.",
Within what range should the shard size be controlled?,The shard size should be controlled at least a few GB to dozens of GB. The shard size for sequential data use cases is usually between 20GB and 40GB.,
How to manage sharding?,"Indexes can be managed automatically using Index Lifecycle Management (ILM), with automatic rollover based on index size, creation time, or number of documents. The frequency of checks can be controlled by modifying the `indices.lifecycle.poll_interval` parameter.",
How to calculate the number of shards?,"The formula for calculating the number of shards is: (metadata + headroom for growth) * (1 + index overhead) / required shard size = approximate number of primary shards. Among them, metadata refers to the metadata size of each document, growth space refers to the additional space that may be needed for index growth, and index overhead refers to the index overhead of each document.",
What is sharding?,"Sharding is the basic unit of data storage in Elasticsearch, which evenly distributes index data to multiple nodes for storage and processing.",
How many primary and replica shards does Elasticsearch have per index by default in version 7.x?,"In Elasticsearch version 7.x, each index defaults to 1 primary shard and 1 replica shard.",
Within what range should the individual shard size be kept? Why?,"The size of a single shard should be kept between 10-50G for the best experience, and it is generally recommended to be around 30G. Because sharding that is too large may slow down Elasticsearch's fault recovery, while sharding that is too small may result in too many shards, leading to problems with read and write performance and insufficient memory.",
How to quickly calculate Elasticsearch storage capacity requirements?,"A simplified version of the formula can be used: source data * (1 + number of replicas) * 1.45 = minimum storage requirement. For example, if you have 500G of data storage and need a replica, the minimum storage requirement is closer to 500 * 2 * 1.1 / 0.95 / 0.8 = 1.5T.",
What is the overhead in Elasticsearch besides data?,"In addition to data, Elasticsearch also has overhead such as index overhead, operating system reserved space, Elasticsearch internal overhead, number of copies, and security thresholds.",
Which two plans need to be confirmed in advance when starting storage capacity planning?,"At the beginning of storage capacity planning, usage scenarios and data requirement planning need to be confirmed in advance.",
How to solve the problem of 429 error?,"Method 1: Reduce write concurrency and control the amount of writes. \n- Method 2: Increase the queue size appropriately, if resources permit. Method 1 and method 2 can be used together.",
What is the cause of 429 error?,The reason for the 429 error is that the write concurrency of `Elasticsearch` is too large and `Elasticsearch` has no time to process it.,
"When writing data to Elasticsearch, an error message status:429, es_rejected_execution_exception is reported. What is the reason?","The reason for the 429 error is that the write concurrency of Elasticsearch is too large and Elasticsearch has no time to process it. You can appropriately reduce the write concurrency and control the amount of writes. Or if resources permit, increase the queue size appropriately.",
Why does the error Operation not permitted appear when installing Elasticsearch in an OCP environment?,It may be caused by SELinux. This problem can be solved by setting the status of SELinux. Execute the command setenforce 0.,
What precautions should be taken with this script when changing the password of an Elastic user?,"This script has a certain probability of failure, depending on the data writing speed. In real situations, it is necessary to stop writing to the data source before executing the above method.",
What is the reason for the error `Terminating due to java.lang.OutOfMemoryError: Java heap space`?,Elasticsearch memory overflow.,
What is the error message when Elasticsearch PVC disk capacity is full?,"The error message is as follows:\n```info\n{""type"": ""server"", ""timestamp"": ""2022-12-18T10:47:08,573Z"", ""level"": ""ERROR"", ""component"": ""oemfFsHealthService"", ""cluster.name"": ""mcamel-common-es-cluster-masters"", ""node.name"": ""mcamel-common-es-cluster-masters-es-masters-0"", ""message"": ""health check of [/usr/share/elasticsearch/data/nodes/0] failed"", ""cluster.uuid"": ""afIglgTVTXmYO2qPFNvsuA"", ""node.id"": ""nZRiBCUZ",
Please give an example of adding a custom plugin.,You can refer to the following example:\n```yaml\napiVersion: rabbitmq.com/v1beta1\nkind: RabbitmqCluster\nmetadata:\n...\nspec:\n...\ntemplate:\nspec:\nvolumes:\n - name: community-plugins\nemptyDir: {}\ninitContainers:\n- command:\n- sh\n- -c\n- curl -L -v https://github.com/rabbitmq/rabbitmq-message- timestamp/releases/download/v3.8.0/rabbitmq_message_timestamp-3.8.0.ez --output rabbitmq_message_timestamp-3.8.0.ez\nimage: docker.m.daocloud.io/curlimages/curl:7.70.0\nimagePullPolicy: IfNotPresent\ nname: copy-community-plugins\nresources:\nlimits:\ncpu: 100m\nmemory: 500Mi\nrequests:\ncpu: 100m # Resource limits can be adjusted according to actual conditions\nmemory: 500Mi \nterminationMessagePolicy: FallbackToLogsOnError\nvolumeMounts:\n- mountPath: /community-plugins/\nname: community-plugins\ncontainers:\n- name: rabbitmq\n...\nvolumeMounts:\n- mountPath: /opt/rabbitmq/community-plugins\nname: community-plugins\ nenvConfig: |\nPLUGINS_DIR=/opt/rabbitmq/plugins:/opt/rabbitmq/community-plugins # Add the plug-in directory to the environment variable\nadditionalConfig: |\n...\nadditionalPlugins:\n- rabbitmq_message_timestamp # Add the plug-in enablement \n...\n```,
How to add custom plugins to RabbitMQ?,RabbitM can be created in,
Why do I need to add a custom plugin for RabbitMQ?,RabbitM,
 How to monitor the status of Elasticsearch cluster in Kubernetes?,"You can use monitoring tools such as Kubernetes Dashboard or Prometheus to monitor the status of the Elasticsearch cluster, such as viewing node CPU and memory usage, cluster throughput and other indicators.",
 How to view the list of all Pods in the current cluster?,You can use the `kubectl get pods -n <namespace>` command to view a list of all Pods in the current namespace.,
 How to configure Elasticsearch resources and performance?,"Resources and performance can be configured by modifying parameters in the Elasticsearch configuration file, for example: `ES_JAVA_OPTS` controls JVM memory usage, `discovery.zen.minimum_master_nodes` controls the minimum number of nodes required to elect master nodes, etc.",
 How to set access permissions for Elasticsearch?,"Access permissions can be set by modifying the Elasticsearch configuration file, configuring `xpack.security.enabled` to true, and setting the user name and password, or by performing user and role management through the Kibana management interface.",
 What does the basic information about an Elasticsearch cluster include?,"The basic information of the Elasticsearch cluster includes instance running status, deployment location, creation time, version and other information.",
What programming languages does Elasticsearch support?,"Elasticsearch supports programming languages such as Java, JavaScript (Node.js), Go, .NET (C#), PHP, Perl, Python, and Ruby.",
"How does the Elastic Stack help with the data collection, visualization, and reporting process?","The Elastic Stack integrates with Beats and Logstash to easily process data before indexing it into Elasticsearch. At the same time, Kibana not only provides real-time visualization of Elasticsearch data, but also provides a UI for users to quickly access data such as application performance monitoring (APM), logs, and infrastructure indicators.",
What built-in features does Elasticsearch have to make it easier for users to store and search data more efficiently?,"Elasticsearch has a number of powerful built-in features, such as data aggregation and index lifecycle management, that make it easier for users to store and search data more efficiently.",
What are the distributed features of Elasticsearch?,Documents stored in Elasticsearch are distributed in different containers called shards. Shards can be replicated to provide redundant copies of data in the event of hardware failure. The distributed nature of Elasticsearch allows it to scale to hundreds (or even thousands) of servers and process petabytes of data.,
How does Elasticsearch ensure that search speeds are very fast?,"Elasticsearch is built on Lucene and has excellent performance in full-text search. At the same time, Elasticsearch is a near-real-time search platform. The delay between document indexing operations and the document becoming searchable is very short, generally only one second.",
What are the compatibility and openness benefits of RabbitMQ?,RabbitM,
How does RabbitMQ support containerized deployment?,RabbitM,
What are the characteristics of RabbitMQ's graphical interface operation?,RabbitM,
What are the characteristics of RabbitMQ's life cycle management?,RabbitM,
Why is RabbitMQ an industry leader?,RabbitM,
What are the product advantages of RabbitMQ?,#NAME?,
How does MySQL provide real-time status indicator data?,MyS,
Does MySQL have an open architecture?,"Yes,MyS",
Does MySQL support containerized deployment?,"Yes,MyS",
What technical route does MySQL adopt to ensure the stability and reliability of the platform?,MyS,
What programming languages does MySQL support?,MyS,
What other optional settings are available within HTTP path rules?,"HTTP path rules also provide 6 optional settings, including rewrite, timeout, retry, fault injection, etc.",
What two mutually exclusive features are supported in HTTP routing?,"HTTP routing supports two mutually exclusive functions, `route target` and `redirect`. Only one of these functions can be selected in an `HTTP path rule`.",
"In HTTP routing, how is the execution order of different routing rules determined?","In HTTP routing, the execution order of different routing rules is from top to bottom, and the routing rules with the highest ranking take effect first.",
What are the routing matching rules in HTTP routing?,"Routing matching rules in HTTP routing include: matching URI, matching port and matching header.",
What are the routing configuration parts of the service mesh in DCE5.0?,"The routing configuration of the service grid in DCE5.0 is mainly divided into three parts: HTTP routing, TLS routing and TCP routing.",
How to create a service gateway?,"In DCE5.0, a service gateway can be created through the gateway module. For specific operations, please refer to the official documentation.",
What cluster management functions does DCE5.0 provide?,"DCE5.0 provides the cluster module for joining and managing clusters. For specific operations, please refer to the official documentation.",
How to implement traffic monitoring and traffic topology?,"In DCE5.0, traffic monitoring and traffic topology can be implemented through the watch and watch2 modules. For specific operations, please refer to the official documentation.",
What is sidecar management? What sidecar management modules are provided in DCE5.0?,"Sidecar management is one of the important functions of the service grid in DCE5.0, which is used to manage and control communication between services. DCE5.0 provides sidecar management modules such as sidecar, sidecarm, and watch.",
What is peer authentication? How to implement peer authentication?,"Peer identity authentication is one of the functional modules of the service grid in DCE5.0 and is used to implement secure authentication across applications. Peer identity authentication can be implemented through the security module. For specific operations, please refer to the official documentation.",
What is a virtual service? How to configure virtual services?,"Virtual service is one of the functional modules of the service grid in DCE5.0 and is used to define business rules and traffic control policies. Virtual services can be configured through the traffic module. For specific operations, please refer to the official documentation.",
How do I manage service entries?,"In DCE5.0, service entries can be managed through the service module. For specific operations, please refer to the official documentation.",
How to upgrade version?,"In DCE5.0, the version can be upgraded through the upgrade module. For specific operations, please refer to the official documentation.",
What is a grid gateway?,The grid gateway is one of the functional modules of the service grid in DCE5.0 and is used to manage and control traffic communication between services.,
What functional modules does the service grid provide in DCE5.0?,"The service grid in DCE5.0 provides functional modules such as inject, gateway, upgrade, service, traffic, security, sidecar, and watch.",
What traffic management capabilities can the DCE5.0 service grid provide?,"The service grid of DCE5.0 can provide traffic management capabilities such as weight, content, TCP/IP and other routing rules, HTTP session retention, current limiting, outlier detection and other traffic management capabilities.",
"In the service grid of DCE5.0, which traditional microservice SDKs can be quickly migrated to run on the cloud-native container operating environment?",The service grid of DCE 5.0 provides integrated solutions for traditional microservice SDKs such as Spring Cloud and Dubbo. Businesses developed with traditional microservice SDKs can be quickly migrated to run on cloud-native container operating environments without extensive code modification.,
What infrastructure can the service grid of DCE 5.0 perform unified service discovery and management on?,The service grid of DCE 5.0 enables unified service discovery and management of multiple infrastructures such as containers and virtual machines (VMs).,
What is the role of service mesh?,"As a fully managed microservice management solution, service grid can uniformly manage complex multi-cloud and multi-cluster environments and provide users with functions such as service traffic management, security management, and service traffic monitoring.",
What are the advantages of the service mesh of DCE 5.0?,"The service grid of DCE 5.0 has the advantages of simplicity and ease of use, intelligent routing and elastic traffic management, graphical application panoramic topology, enhanced performance, enhanced reliability, multi-cloud, multi-cluster, and multi-infrastructure.",
How to set resource usage limits for a certain workload in DCE5.0?,"Select one (or more) workloads that have sidecar injection enabled, click the `Sidecar Resource Limit` button, set the request value and limit value of CPU/memory respectively in the pop-up dialog box, select `Restart now`, and click ` OK`. In the workload sidecar management list, you can see that the data in the `CPU request value/limit value` and `memory request value/limit value` of the specified workload have been updated.",
How to disable the automatic sidecar injection function of a certain workload in DCE5.0?,"Select one or more workloads that have sidecar injection enabled, click the `Injection Disable` button on the right, confirm in the pop-up dialog box whether the number of selected workloads is correct, check `Restart now`, and click `OK`. For related uninstallation progress, you can view the `Injected POD` column.",
How to enable the automatic sidecar injection function of a certain workload in DCE5.0?,"Select one or more workloads that do not enable sidecar injection, click the Enable Injection button on the right, confirm in the pop-up dialog box whether the number of workloads selected is correct, check Restart Now, and click OK. After completing the restart of the workload, sidecar injection will be completed.",
"In DCE5.0, how to view all workloads under a cluster and their sidecar injection status, namespaces, resource limits and other information?","In the left navigation bar, click `Sidecar Management` -> `Workload Sidecar Management`. After selecting a cluster, you can view all workloads under the cluster and their sidecar injection status, namespaces, resource restrictions, etc. information.",
What are the operations of workload sidecar management in the service mesh module?,"View sidecar injection information, view sidecar running status, enable sidecar injection, disable sidecar injection, and set sidecar resource limits.",
What is the name of the service mesh module in DCE5.0?,Service mesh module.,
How to view the request aggregation report in DCE5.0?,"In DCE5.0, you can use JMeter to initiate requests and set filtering conditions through assertions. Click `Report` -> `Aggregation Report` in the left navigation bar to view the request aggregation report.",
How to configure different traffic flows for workloads in DCE5.0?,"In DCE5.0, request traffic can be weighted and distributed based on clusters, workloads can be individually labeled in multiple clusters, and traffic can be distributed to different clusters based on weight ratios in virtual services.",
How to enable multi-cloud network interconnection in DCE5.0?,"In DCE5.0, you can click `Grid Configuration` -> `Multi-cloud Network Interconnection` in the left navigation bar to enable multi-cloud network interconnection.",
What functions does the service mesh module in DCE5.0 support?,"The service grid module in DCE5.0 supports functions such as communication management, request routing, flow control, and fault recovery between microservices.",
What is the service mesh module in DCE5.0?,"The service mesh module in DCE5.0 is an open source solution for communication management, request routing, flow control and failure recovery between microservices.",
How to bind virtual services to gateway rules?,"These hosts can be exposed outside the grid by binding a VirtualService to a gateway rule for the same host. Gateway rules need to be set in the gateways field (there can be multiple) before they can be applied to the declared gateway rules. If you want to take effect on gateway rules and all services at the same time, you need to explicitly add mesh to the gateways list.",
What is the hosts field in a virtual service?,"hosts is the destination host for the traffic. It can come from service registration information, service entry (ServiceEntry) or user-defined service domain name. A hostname can only be defined in one VirtualService. The same VirtualService can be used to control the traffic attributes of multiple HTTP and TCP ports.",
How to create a virtual service through YAML?,"To create a virtual service through YAML, you can click the `YAML Create` button to enter the creation page and write YAML directly. You can also use the template provided on the page to simplify the editing operation. The editing window provides basic syntax checking.",
How to create a virtual service via graphical wizard?,"To create a virtual service with the graphical wizard, you need to follow the following steps:\n1. Click `Traffic Management` -> `Virtual Service` in the left navigation bar, and click the `Create` button in the upper right corner. \n2. In the `Create Virtual Service` interface, first confirm and select the namespace, service and application scope to which the virtual service needs to be created, and then click `Next`. \n3. After following the on-screen prompts to configure HTTP routing, TLS routing and TCP routing respectively, click `OK`.",
What are the rule tags in virtual services?,"Rule tags include: HTTP Routing, TCP Routing, TLS Routing, Rewrite, Redirect, Retry, Timeout, Fault Injection, Proxy Service, and Traffic Mirroring.",
What are virtual services in a service mesh? What are the ways to create it?,"Virtual services refer to routing and forwarding requests from different regions and users through multiple matching methods (port, host, header, etc.), distributing them to specific service versions, and dividing the load according to weight ratios. It provides routing support for three protocols: HTTP, TCP, and TLS. \nVirtual services provide two creation methods: graphical wizard creation and YAML creation.",
What is the service mesh module in DCE5.0?,"The service grid module in DCE5.0 is a microservice governance solution based on Istio, which provides functions such as flow control, fault self-healing, and security protection for microservices.",
How to view all services that enable TLS protocol in the current namespace?,"In TLS routing, you can use the drop-down list to view all services that enable the TLS protocol under the current namespace.",
"In TCP routing, how to specify the port number for matching? What parameters can be set for routing targets?","In TCP routing, you need to add a matching rule to specify the port number for matching. In the routing target, you can set parameters such as target service name, port, version, and traffic distribution weight.",
How to add multiple routing rules in TLS routing? How is the execution order determined?,"In TLS routing, multiple matching rules and routing targets can be added, and the execution order is from top to bottom, with the routing rules with the highest priority taking effect.",
What are the routing rules in the service mesh module?,"Routing rules in the service mesh module specify how requests are routed to different service instances. Including TLS routing and TCP routing two types. TLS routing matches requests based on port and SNI name, and TCP routing matches based on port number.",
What is the service mesh module in DCE5.0?,"The service mesh module in DCE5.0 is an application architecture that splits applications into multiple tiny, autonomous services that communicate with each other over the network and can be dynamically adjusted and updated.",
What is TCP routing used for?,"TCP routing is used to route TCP traffic to different target instances, matching based on port numbers.",
What is TLS routing used for?,"TLS routing is used to route encrypted TLS traffic to different target instances, selecting which target instance the traffic is routed to based on the value of the SNI header.",
What are the configuration items of traffic mirroring rules?,Traffic mirroring rules include configuration items such as traffic mirroring percentage (mirrorPercentage) and mirroring to service (host). Traffic can be copied to specified target services for sampling and analysis.,
What are the considerations for proxy virtual service rules?,Proxy virtual service rules do not support nesting. Only the main virtual service can enable the proxy function. Proxies cannot be configured when the virtual service has a "route target/redirect" configuration.,
What are the configuration items for fault injection rules?,"Fault injection rules include configuration items such as delay duration (fixedDelay), fault injection percentage (percentage), termination response code (httpStatus), and termination percentage (percentage). Errors or delays can be simulated to help test and verify the robustness of the system.",
What are the configuration items for retry rules?,"Retry rules include configuration items such as the number of retries (attempts), retry timeout (perTryTimeout), and retry conditions (retryOn). You can define the number and interval of attempts to initiate a request again when the request feedback is abnormal, as well as the error type to be retried.",
What are the configuration items for timeout rules?,"Timeout rules include a timeout configuration item, which is used to define the tolerable timeout period after a request is made to the target service.",
What are traffic management rules?,"Traffic management rules are used to specify which target instance to route the request to, and routing configuration can be performed based on request header information.",
What functions does the service grid module provide in DCE5.0?,"The service grid module in DCE5.0 provides functions such as traffic management, timeout, retry, fault injection, proxy virtual service, traffic mirroring, TLS routing and TCP routing.",
What is the service grid module in DCE5.0?,The service grid module in DCE5.0 is a tool used to manage communication and flow control between services.,
Please list some field parameter descriptions.,"Hosts: Need to match the hosts field in the traffic management policy (virtual service, target rules, etc.). \n- Addresses: Virtual IP addresses and CIDR prefixes associated with the service. \n- Ports: Service port. \n- Location: Service address, used to indicate whether the service is inside the grid. \n- Resolution: Provides multiple resolution methods for service addresses. \n- Endpoint: Service-related endpoint information, including IP address, port, service port name, etc. \n- WorkloadSelector: Used to select workloads for services within the grid.",
How to create a service entry using YAML?,"After entering the selected grid, click `Traffic Management` -> `Service Entries` in the left navigation bar, and click the `YAML Create` button in the upper right corner. Select the namespace, select the template, modify each field parameter or directly import the existing YAML file. After confirming the parameters are correct, click OK.",
How do I create a service entry using the graphical wizard?,"After entering the selected grid, click `Traffic Management` -> `Service Entry` in the left navigation bar, click the `Create` button in the upper right corner, on the `Create Service Entry` page, configure various parameters and click `OK `That’s it. The meaning of specific parameters can be found in this document.",
How are service entries created?,"Service mesh provides two creation methods, one is graphical wizard creation and the other is YAML creation.",
What is a service entry?,"A service entry can add an external service, Web API, or virtual machine to the service mesh's internal service registry, and traffic governance is applied to that external service through virtual services and targeting rules, as if the service entry were a normal service in the mesh. Same.",
How to restart and upgrade the sidecar version?,"The restart upgrade of the sidecar version is also divided into three steps: environment detection, selecting the target version, and executing the upgrade. If the hot upgrade requirements are not met during the environment detection phase, the next two steps will enter the restart upgrade process. When selecting the target version, you cannot select the version and only support upgrading to the latest version. Afterwards, clicking ""One-click upgrade"" will immediately restart the Pod, so please operate with caution.",
How to hot upgrade the sidecar version?,"The hot upgrade of the sidecar version is divided into three steps: environment detection, selecting the target version, and executing the upgrade. During the environment detection phase, it is necessary to detect whether the cluster environment meets the hot upgrade requirements, including whether the Istio version is a customized version (version suffix: -mspider), whether the K8s version meets the hot upgrade requirements, and whether the EphemeralContainer is enabled. After meeting the requirements, you can select the sidecar version you want to upgrade when selecting the target version. The default is the latest version. Then click ""One-click upgrade"" to start the sidecar hot update.",
What is a sidecar version upgrade?,"Sidecar version upgrade is a function triggered after Istio version upgrade, and can be divided into two methods: hot upgrade and restart upgrade. Among them, hot upgrade can complete the sidecar upgrade without restarting the user Pod, achieving uninterrupted business; restart upgrade requires restarting the user Pod.",
What functions does the service grid module in DCE5.0 provide?,"The service grid module in DCE5.0 provides functions such as traffic management, service security, monitoring and tracking. These include functions such as traffic routing, fault injection, circuit breaker, traffic restriction, security authentication, encrypted transmission, indicator monitoring and distributed tracking.",
How to use TLS keys in DCE5.0?,"TLS keys can be used in target rules and gateway rules to enable client or server TLS mode. You need to select simple or bidirectional mode or Istio bidirectional mode, and configure the corresponding key into the corresponding rule.",
What are TLS keys?,"TLS keys are a technology used to encrypt and verify the security of network communications. In DCE5.0, TLS keys can be used to enable client TLS mode and server TLS mode.",
What is the service grid module in DCE5.0?,"The service grid module in DCE5.0 is a microservice architecture based on Istio. By integrating Istio functions, it can provide functions such as traffic management, service security, monitoring and tracking.",
How to create TLS key?,"After entering a grid, click `Grid Configuration` -> `TLS Key Management` in the left navigation bar, click the `Create` button, fill in the name, select the namespace, fill in the credentials and private key and add a label. Can.",
How to create credentials and private key?,It can be generated using the openssl command. The specific command is:\n```\nopenssl req -out example_certs1/helloworld.example.com.csr -newkey rsa:2048 -nodes -keyout example_certs1/helloworld.example.com.key -subj " /CN=helloworld.example.com/O=helloworld organization"\noopenssl x509 -req -sha256 -days 365 -CA example_certs1/example.com.crt -CAkey example_certs1/example.com.key -set_serial 1 -in example_certs1/helloworld .example.com.csr -out example_certs1/helloworld.example.com.crt\n````,
What is the role of TLS key management?,TLS key management is used for link TLS encrypted communication between services and can manage keys in the service mesh.,
